20201212T1100,29.989372,63.0,25.076267,39.173645
20201212T1200,30.059372,63.0,26.044699,40.51538
20201212T1300,30.069372,63.0,26.518099,41.69812
20201212T1400,29.839373,64.0,26.787966,41.18593
20201212T1500,29.489372,66.0,27.103003,39.610672
20201212T1600,28.909372,70.0,28.62396,39.897827
20201212T1700,28.109371,75.0,30.421598,39.71875
20201212T1800,27.219372,81.0,31.205997,39.3824
20201212T1900,26.909372,82.0,32.957207,40.1261
20201212T2000,26.839373,82.0,24.014996,40.135483
20201212T2100,26.919373,81.0,27.36947,35.362457
20201212T2200,26.989372,82.0,31.32207,37.528442
20201212T2300,27.019371,79.0,32.777794,38.75807
20201213T0000,26.709372,78.0,34.17157,41.58342
20201213T0100,26.379372,77.0,34.882866,43.745544
20201213T0200,26.129372,77.0,33.371437,47.18579
20201213T0300,25.879372,79.0,32.957207,49.8739
20201213T0400,25.649372,80.0,31.991425,50.93741
20201213T0500,25.499372,81.0,31.542658,51.95294
20201213T0600,25.329372,81.0,29.74306,51.881714
20201213T0700,25.859371,79.0,28.227304,52.25319
20201213T0800,27.139372,73.0,27.295977,48.74298
20201213T0900,28.389372,68.0,26.230639,46.668335
20201213T1000,29.269371,64.0,27.238943,44.46454
20201213T1100,29.729372,63.0,27.267473,42.32457
20201213T1200,29.919373,62.0,27.776047,42.37358
20201213T1300,30.039371,62.0,28.528723,42.954575
20201213T1400,29.879372,62.0,29.05983,41.987213
20201213T1500,29.649372,63.0,29.810522,42.552948
20201213T1600,28.999372,69.0,31.160282,40.314102
20201213T1700,28.069372,76.0,31.712708,39.472458
20201213T1800,27.129372,82.0,33.190357,40.601288
20201213T1900,26.729372,82.0,34.92,42.075027
20201213T2000,26.609371,82.0,28.082308,36.13536
20201213T2100,26.699371,81.0,33.696075,36.747467
20201213T2200,26.549372,82.0,34.98674,40.409454
20201213T2300,26.559372,81.0,33.933697,41.12874
20201214T0000,26.399372,79.0,31.845251,42.70938
20201214T0100,26.099371,80.0,27.748037,45.52562
20201214T0200,25.939371,80.0,24.122686,52.274994
20201214T0300,25.699371,81.0,21.67487,57.893738
20201214T0400,25.459372,82.0,20.288164,62.52556
20201214T0500,25.199371,83.0,18.388212,66.94869
20201214T0600,24.949371,84.0,16.179985,69.14554
20201214T0700,25.619371,81.0,15.137133,64.65382
20201214T0800,27.119371,74.0,13.450708,74.47588
20201214T0900,28.659372,67.0,12.181624,55.840294
20201214T1000,30.069372,60.0,15.782622,44.999985
20201214T1100,30.839373,58.0,18.161278,39.36931
20201214T1200,30.899372,58.0,20.592503,36.469223
20201214T1300,30.609371,60.0,23.0653,34.18611
20201214T1400,30.129372,63.0,24.26998,32.275635
20201214T1500,29.549372,66.0,25.140787,29.134277
20201214T1600,28.889372,72.0,25.140787,29.134277
20201214T1700,28.079372,78.0,25.140787,29.134277
20201214T1800,27.219372,84.0,26.260265,28.673126
20201214T1900,27.089373,84.0,27.908709,30.203232
20201214T2000,26.809372,85.0,26.302181,30.425766
20201214T2100,26.709372,85.0,31.178993,31.304123
20201214T2200,26.479372,86.0,33.857227,35.041916
20201214T2300,26.389372,86.0,33.40831,37.11685
20201215T0000,26.269371,85.0,31.712708,39.472458
20201215T0100,26.079372,84.0,29.275326,45.4982
20201215T0200,25.859371,84.0,25.076267,50.82634
20201215T0300,25.629372,85.0,21.67786,54.46232
20201215T0400,25.339373,86.0,19.969458,62.04902
20201215T0500,25.059372,87.0,17.917007,67.55725
20201215T0600,24.759373,89.0,15.509274,68.19859
20201215T0700,25.289371,85.0,14.81259,64.05769
20201215T0800,26.829372,78.0,17.595861,59.237274
20201215T0900,28.42937,71.0,19.35314,46.50743
20201215T1000,29.649372,65.0,22.493519,39.805573
20201215T1100,30.049372,65.0,24.696102,36.70285
20201215T1200,30.019371,65.0,26.712873,37.33319
20201215T1300,29.949371,65.0,27.0,36.86989
20201215T1400,29.749372,66.0,27.504093,37.019867
20201215T1500,29.419373,68.0,28.394392,39.340515
20201215T1600,28.819372,71.0,30.0767,42.089157
20201215T1700,27.899372,78.0,31.845251,42.70938
20201215T1800,26.879372,83.0,32.11071,42.27368
20201215T1900,26.539371,85.0,32.353966,42.745422
20201215T2000,26.249372,86.0,32.090523,43.181686
20201215T2100,26.099371,85.0,31.319998,43.602814
20201215T2200,25.979372,85.0,30.30208,43.555878
20201215T2300,25.819372,87.0,27.748037,45.52562
